name,category,based_on,plugin,added_in_coros,status,controls
Bogna Uber Clean,Guitar amps,Bogner Uberschall Rev. Blue,,1.4.0,verified,"Gain (0-10, default 5.5, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Master (0-10, default 4.0, p1); Output (dB, default 6.0, p1)"
Bogna Uber Lead,Guitar amps,Bogner Uberschall Rev. Blue,,1.4.0,verified,"Gain (0-10, p1); Bass (0-10, p1); Mid (0-10, p1); Treble (0-10, p1); Presence (0-10, p1); Master (0-10, p1); Output (dB, p1)"
Bogna Vishnu 20th Clean,Guitar amps,Bogner Shiva 20th Anniversary,,1.2.0,verified,"Gain (0-10, default 3.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Bright (switch, Off/On, default On, p1); Presence (0-10, default 5.0, p1); Depth (0-10, default 5.0, p1); Master (0-10, default 3.0, p1); Output (dB, default 2.0, p1)"
Brit 2203,Guitar amps,Marshall JCM800,,1.0.0,verified,"Gain (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Master (0-10, default 3.0, p1); Output (dB, default 0.0, p1)"
Brit 900 Clean,Guitar amps,Marshall JCM900 4100,,1.0.0,verified,"Gain (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Master (0-10, default 3.0, p1); Output (dB, default 0.0, p1)"
Brit 900 Lead,Guitar amps,Marshall JCM900 4100,,1.0.0,missing,
Brit Plexi 100 Bright,Guitar amps,Marshall Super Lead 100,,1.0.0,verified,"Gain (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Output (dB, default 0.0, p1)"
Brit Plexi 100 Normal,Guitar amps,Marshall Super Lead 100,,1.0.0,missing,
Brit Plexi 100 Patch,Guitar amps,Marshall Super Lead 100,,1.0.0,verified,"Gain 1 (0-10, default 5.0, p1); Gain 2 (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Output (dB, default 0.0, p1)"
Brit Plexi 50 Bright,Guitar amps,Marshall Lead 50,,1.0.0,verified,"Gain (0-10, p1); Bass (0-10, p1); Mid (0-10, p1); Treble (0-10, p1); Presence (0-10, p1); Output (dB, p1)"
Brit Plexi 50 Normal,Guitar amps,Marshall Lead 50,,1.0.0,missing,
Brit Plexi 50 Patch,Guitar amps,Marshall Lead 50,,1.0.0,missing,
Brit TM45 Bright,Guitar amps,Marshall JTM 45,,1.0.0,verified,"Gain (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Output (dB, default 0.0, p1)"
Brit TM45 Normal,Guitar amps,Marshall JTM 45,,1.0.0,missing,
Brit TM45 Patch,Guitar amps,Marshall JTM 45,,1.0.0,verified,"Gain 1 (0-10, default 5.0, p1); Gain 2 (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Output (dB, default 0.0, p1)"
Brit UBL Lead,Guitar amps,Marshall Silver Jubilee,,1.3.0,verified,"Input Gain (0-10, default 5.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); Presence (0-10, default 5.0, p1); Lead Master (0-10, default 5.0, p1); Output Master (0-10, default 3.0, p1); Output (dB, default 0.0, p1)"
Brit UBL Lead Clip,Guitar amps,Marshall Silver Jubilee,,1.3.0,unverified,"Input Gain, Lead Master, Output Master, Bass, Middle, Treble, Presence, Output"
CA 1Star Clean 100W Normal,Guitar amps,Mesa Boogie Lone Star,,1.0.0,verified,"Gain (0-10, default 2.0, p1); Bass (0-10, default 5.0, p1); Mid (0-10, default 5.0, p1); Treble (0-10, default 5.0, p1); EQ (select, Normal/Tweed, default Normal, p1); Presence (0-10, default 5.0, p1); Master (0-10, default 3.0, p1); Output (dB, default 0.0, p1)"
